{'HIDDEN_DIM': 500, 'sliced_time': 0.0018564687073230743, 'unsliced_time': 0.0018715240836143492, 'ratio': 0.9919555530045867}
{'HIDDEN_DIM': 1000, 'sliced_time': 0.0018911929607391357, 'unsliced_time': 0.001867414540052414, 'ratio': 1.012733338086815}
{'HIDDEN_DIM': 1500, 'sliced_time': 0.0018749227046966552, 'unsliced_time': 0.0021577180922031404, 'ratio': 0.8689377502425553}
{'HIDDEN_DIM': 2000, 'sliced_time': 0.0021864804804325104, 'unsliced_time': 0.0019007235586643218, 'ratio': 1.1503411269174755}
{'HIDDEN_DIM': 2500, 'sliced_time': 0.0021912941992282865, 'unsliced_time': 0.0018930357754230501, 'ratio': 1.1575556192215029}
{'HIDDEN_DIM': 3000, 'sliced_time': 0.001879096758365631, 'unsliced_time': 0.001865610909461975, 'ratio': 1.0072286503232044}
{'HIDDEN_DIM': 3500, 'sliced_time': 0.002200791370868683, 'unsliced_time': 0.0019186639726161956, 'ratio': 1.1470436732429976}
{'HIDDEN_DIM': 4000, 'sliced_time': 0.0018950762629508973, 'unsliced_time': 0.0018859485387802124, 'ratio': 1.0048398585555194}
{'HIDDEN_DIM': 4500, 'sliced_time': 0.0018864847421646118, 'unsliced_time': 0.001886542409658432, 'ratio': 0.9999694321773394}
{'HIDDEN_DIM': 5000, 'sliced_time': 0.0022132681548595427, 'unsliced_time': 0.0019116788923740388, 'ratio': 1.1577614649032255}
{'HIDDEN_DIM': 5500, 'sliced_time': 0.0019090469419956208, 'unsliced_time': 0.0019720354557037356, 'ratio': 0.9680591373111814}
{'HIDDEN_DIM': 6000, 'sliced_time': 0.001904929131269455, 'unsliced_time': 0.0018883211255073546, 'ratio': 1.0087951172805092}
{'HIDDEN_DIM': 6500, 'sliced_time': 0.0019100962102413176, 'unsliced_time': 0.0023091182947158812, 'ratio': 0.8271972096935553}
{'HIDDEN_DIM': 7000, 'sliced_time': 0.002204248183965683, 'unsliced_time': 0.0019080007016658784, 'ratio': 1.1552659189491654}
{'HIDDEN_DIM': 7500, 'sliced_time': 0.0018961098313331603, 'unsliced_time': 0.0028490462064743043, 'ratio': 0.6655244225328296}
{'HIDDEN_DIM': 8000, 'sliced_time': 0.0018901346623897554, 'unsliced_time': 0.0020277427077293395, 'ratio': 0.9321373245160491}
{'HIDDEN_DIM': 8500, 'sliced_time': 0.001882943969964981, 'unsliced_time': 0.003185509699583054, 'ratio': 0.5910966054228108}
{'HIDDEN_DIM': 9000, 'sliced_time': 0.0018838639438152316, 'unsliced_time': 0.0026401509940624235, 'ratio': 0.7135440162520833}
{'HIDDEN_DIM': 9500, 'sliced_time': 0.0018951515793800354, 'unsliced_time': 0.004161196082830429, 'ratio': 0.4554343370646838}
{'HIDDEN_DIM': 10000, 'sliced_time': 0.002176095533370972, 'unsliced_time': 0.0028490245103836064, 'ratio': 0.7638037249030096}
{'HIDDEN_DIM': 10500, 'sliced_time': 0.001884839427471161, 'unsliced_time': 0.004818026006221771, 'ratio': 0.3912057396612572}
{'HIDDEN_DIM': 11000, 'sliced_time': 0.0018858968794345857, 'unsliced_time': 0.00326892107129097, 'ratio': 0.5769172269093065}
{'HIDDEN_DIM': 11500, 'sliced_time': 0.0021882859766483307, 'unsliced_time': 0.005681922286748886, 'ratio': 0.3851312753347136}
{'HIDDEN_DIM': 12000, 'sliced_time': 0.001907508635520935, 'unsliced_time': 0.003791248273849487, 'ratio': 0.5031347191578472}
{'HIDDEN_DIM': 12500, 'sliced_time': 0.0019127549946308135, 'unsliced_time': 0.006682201534509659, 'ratio': 0.2862462295925308}
{'HIDDEN_DIM': 13000, 'sliced_time': 0.0019011197686195373, 'unsliced_time': 0.004374404758214951, 'ratio': 0.434600791124624}
{'HIDDEN_DIM': 13500, 'sliced_time': 0.0019122535347938538, 'unsliced_time': 0.007690167313814163, 'ratio': 0.2486621495684228}
{'HIDDEN_DIM': 14000, 'sliced_time': 0.0019010903120040893, 'unsliced_time': 0.005010381770133972, 'ratio': 0.3794302309129742}
{'HIDDEN_DIM': 14500, 'sliced_time': 0.0019280818760395052, 'unsliced_time': 0.00884415895342827, 'ratio': 0.21800624414287814}
{'HIDDEN_DIM': 15000, 'sliced_time': 0.0019022363483905793, 'unsliced_time': 0.005655631017684937, 'ratio': 0.3363437859440194}
{'HIDDEN_DIM': 15500, 'sliced_time': 0.001966378253698349, 'unsliced_time': 0.010040661352872848, 'ratio': 0.19584150730626187}
{'HIDDEN_DIM': 16000, 'sliced_time': 0.0019753815114498135, 'unsliced_time': 0.0062610402107238766, 'ratio': 0.3155037254139321}
{'HIDDEN_DIM': 16500, 'sliced_time': 0.0023268837451934817, 'unsliced_time': 0.011279033917188644, 'ratio': 0.2063016888039884}
{'HIDDEN_DIM': 17000, 'sliced_time': 0.0022222722172737124, 'unsliced_time': nan, 'ratio': nan}
{'HIDDEN_DIM': 17500, 'sliced_time': 0.002616758763790131, 'unsliced_time': nan, 'ratio': nan}
{'HIDDEN_DIM': 18000, 'sliced_time': 0.0022303486049175263, 'unsliced_time': nan, 'ratio': nan}
{'HIDDEN_DIM': 18500, 'sliced_time': 0.0026966682612895965, 'unsliced_time': nan, 'ratio': nan}
{'HIDDEN_DIM': 19000, 'sliced_time': 0.0018909074246883392, 'unsliced_time': nan, 'ratio': nan}
{'HIDDEN_DIM': 19500, 'sliced_time': 0.0029372741520404815, 'unsliced_time': nan, 'ratio': nan}
{'HIDDEN_DIM': 20000, 'sliced_time': 0.001917517113685608, 'unsliced_time': nan, 'ratio': nan}
