{'HIDDEN_DIM': 500, 'sliced_time': 0.0018564687073230743, 'unsliced_time': 0.0018715240836143492, 'ratio': 0.9919555530045867}
{'HIDDEN_DIM': 1000, 'sliced_time': 0.0018911929607391357, 'unsliced_time': 0.001867414540052414, 'ratio': 1.012733338086815}
{'HIDDEN_DIM': 1500, 'sliced_time': 0.0018749227046966552, 'unsliced_time': 0.0021577180922031404, 'ratio': 0.8689377502425553}
{'HIDDEN_DIM': 2000, 'sliced_time': 0.0021864804804325104, 'unsliced_time': 0.0019007235586643218, 'ratio': 1.1503411269174755}
{'HIDDEN_DIM': 2500, 'sliced_time': 0.0021912941992282865, 'unsliced_time': 0.0018930357754230501, 'ratio': 1.1575556192215029}
{'HIDDEN_DIM': 3000, 'sliced_time': 0.001879096758365631, 'unsliced_time': 0.001865610909461975, 'ratio': 1.0072286503232044}
{'HIDDEN_DIM': 3500, 'sliced_time': 0.002200791370868683, 'unsliced_time': 0.0019186639726161956, 'ratio': 1.1470436732429976}
{'HIDDEN_DIM': 4000, 'sliced_time': 0.0018950762629508973, 'unsliced_time': 0.0018859485387802124, 'ratio': 1.0048398585555194}
{'HIDDEN_DIM': 4500, 'sliced_time': 0.0018864847421646118, 'unsliced_time': 0.001886542409658432, 'ratio': 0.9999694321773394}
{'HIDDEN_DIM': 5000, 'sliced_time': 0.0022132681548595427, 'unsliced_time': 0.0019116788923740388, 'ratio': 1.1577614649032255}
{'HIDDEN_DIM': 5500, 'sliced_time': 0.0019090469419956208, 'unsliced_time': 0.0019720354557037356, 'ratio': 0.9680591373111814}
{'HIDDEN_DIM': 6000, 'sliced_time': 0.001904929131269455, 'unsliced_time': 0.0018883211255073546, 'ratio': 1.0087951172805092}
{'HIDDEN_DIM': 6500, 'sliced_time': 0.0019100962102413176, 'unsliced_time': 0.0023091182947158812, 'ratio': 0.8271972096935553}
{'HIDDEN_DIM': 7000, 'sliced_time': 0.002204248183965683, 'unsliced_time': 0.0019080007016658784, 'ratio': 1.1552659189491654}
{'HIDDEN_DIM': 7500, 'sliced_time': 0.0018961098313331603, 'unsliced_time': 0.0028490462064743043, 'ratio': 0.6655244225328296}
{'HIDDEN_DIM': 8000, 'sliced_time': 0.0018901346623897554, 'unsliced_time': 0.0020277427077293395, 'ratio': 0.9321373245160491}
{'HIDDEN_DIM': 8500, 'sliced_time': 0.001882943969964981, 'unsliced_time': 0.003185509699583054, 'ratio': 0.5910966054228108}
{'HIDDEN_DIM': 9000, 'sliced_time': 0.0018838639438152316, 'unsliced_time': 0.0026401509940624235, 'ratio': 0.7135440162520833}
{'HIDDEN_DIM': 9500, 'sliced_time': 0.0018951515793800354, 'unsliced_time': 0.004161196082830429, 'ratio': 0.4554343370646838}
{'HIDDEN_DIM': 10000, 'sliced_time': 0.002176095533370972, 'unsliced_time': 0.0028490245103836064, 'ratio': 0.7638037249030096}
